,titles,category
0,국회운영위불발에박주민대통령실에묻지도못하나,Politics
1,뉴스앤이슈초유의충돌사태봉합나서나,Politics
2,윤한갈등에김경율거취주목비대위원유지놓고당내이견,Politics
3,갈등에김경율거취주목비대위원유지놓고당내이견,Politics
4,가장아끼던사람에게뒤통수맞아한동훈마이웨이녹취록,Politics
5,분만에파행한운영위박주민대통령실이상하게운영되고있어,Politics
6,강성희폭력사건운영위소집분만산회,Politics
7,야강성희퇴장논란운영위단독소집분만에파행,Politics
8,김건희는피해자당무개입도당원엄호나선,Politics
9,이준석한동훈선거끝나면해코지당할것줄행랑이답,Politics
10,팩트체크디올백은국고돌려주면횡령따져보니,Politics
11,민주당윤권력사유화한사당화도긴개긴정권심판세질것종합,Politics
12,뉴스유영하대구달서갑에출마한다고박전대통령께말씀드렸더니,Politics
13,껍데기만남은민주당의시스템공천김지현의정치언락,Politics
14,국민의힘강성희퇴장논란에과장된연기막장드라마,Politics
15,김종민이낙연신당과합당이번주안에결론,Politics
16,친명양이원영비명광명을양기대에도전장민주당답지않은정치인,Politics
17,지지율한동훈비대위긍정대통령평가보다높아,Politics
18,윤평중교수윤대통령한동훈내치고마이웨이고집하면정권심판론태풍이정부여당삼켜버릴것,Politics
19,이철규한동훈사퇴설에너무나간얘기대통령당무개입없다,Politics
20,국힘의원들의속내한동훈윤석열보다더필요,Politics
21,육군회관실규모간부숙소로탈바꿈년말완공목표,Politics
22,갈등해법고민하는한동훈당초일정바꿔서천화재현장방문,Politics
23,안철수김건희여사명품백논란에진정어린입장표명필요,Politics
24,홍익표반도체발언에첨단산업문닫기로작정국제웃음거리,Politics
25,출신박민식한동훈목숨걸고싸운전우단합확신한다,Politics
26,강성희강제퇴장사과해야보이콧경호처불참,Politics
27,뉴스포커스한동훈서천화재현장방문민주대통령실당무개입,Politics
28,강성희퇴장운영위불참으로파행국민무시하는행위,Politics
29,차주목창원마산회원예비후보국힘예비후보단일화제안,Politics
30,한동훈사퇴논란김건희리스크더키웠다,Politics
31,한동훈답할차례대통령실김경율문제해결안됐다,Politics
32,친명양이원영비명계의원지역구출마선언당원이심판해달라,Politics
33,윤석열한동훈곧단합할것확대해석진압나선여의도라디오,Politics
34,박연수천안함장적도발하면그곳이적들의무덤,Politics
35,강성희강제퇴장국회무시운영위파행규탄,Politics
36,중도확장총선악재윤한간극여전한김건희사과,Politics
37,이준석총선끝나면해코지할텐데한동훈무조건계가답,Politics
38,이상민참모들대오각성필요이관섭사과해야,Politics
39,이용호윤석열한동훈눈빛만봐도통하는사이갈등만나면해소,Politics
40,새법무장관에박성재전서울고검장내정,Politics
41,안철수명품가방논란진정어린입장표명필요해,Politics
42,충돌이약속대련김종민맞다면정치단정치타짜,Politics
43,김종민이낙연총선출마해야제지대통합은월말월초,Politics
44,이태원특별법결과봤어민주쌍특검법재의결타이밍재기,Politics
45,년월일국보위임명장받으러간날집권계획감잡았다,Politics
46,신형미사일추가지원때우크라대공방어무너질우려,Politics
47,윤한김건희사과사천논란평행선확전은자제,Politics
48,이재명피습수사의혹강성희강퇴논란에국힘음모론과역할극,Politics
49,전두환이에사과안하면혼자라도하겠다,Politics
50,전두환년월창당시도명확한사실,Politics
51,뉴스라이브이재명심장뺏길수없다이수진성남행,Politics
52,정호용특전사령관이월일일총시간광주에머문이유,Politics
53,한기호국방위원장본색드러낸비참한안보관이재명대표규탄한다,Politics
54,결혼않고애안키워헛소리맹비난에꼰대막말역풍,Politics
55,뉴스라이브실전약속대련정치권해석분분,Politics
56,용산확전은공멸윤석열한동훈만남주목,Politics
57,뉴스라이브확전봉합갈림길공천까지영향받나,Politics
58,홍준표김건희마리앙투아네트비유는망발,Politics
59,양낙규의북미사일에우크라이나방공망뚫리나,Politics
60,현장영상명품백폭로목사김건희에경악해증거채집시작,Politics
61,친명양이원영비명양기대에도전장이재명체포안때왜가결표던졌나,Politics
62,소득상관없이억서울시의회파격저출산대책보니,Politics
63,간부부터컴퓨터끄고퇴근쪽지보낸최상목부총리세종팀의정책워치,Politics
64,한동훈갈등직접만남으로봉합김건희리스크불씨는여전,Politics
65,김여사대한미안함윤대통령사과왜이리주저하나,Politics
66,서천화재에한동훈현장방문이재명사고수습에만전,Politics
67,홍익표대통령반도체발언에세계적조롱거리중처법엔야당탓거짓말,Politics
68,탁현민디올백반환국고횡령주장에대통령기록관에영원히보존될기세,Politics
69,뉴스천하람김정숙여사가명품백받았다면한동훈은걸리면가야지했을것,Politics
70,기호번쉽지않다원샷통합에서멀어지는제지대,Politics
71,민주당원모임이성만의원우리에게자부심갖게했다복당청원제출,Politics
72,강단총선악재마이웨이한동훈민심여파는,Politics
73,충돌정무기능못한섭섭라인책임론대두,Politics
