titles,category
윤 대통령   이태원 특별법 에 거부권 행사,Politics
이철우 경북도지사  일본은  독도 영유권  부당한 주장을 즉각 철회하라 ,Politics
  공군  하늘의 사냥꾼  조지 데이비스  월의     전쟁영웅 선정,Politics
   잇따른 전략순항미사일 발사 국제사회 제재 필요성 제기,Politics
국민의힘  청년 현장전문가 이상규 한정민 이영훈 인재 영입,Politics
이언주 복당 논란에  거리두기  나선 민주당  이 전 의원 쪽이 먼저 요청 ,Politics
   성범죄 입시비리 땐 사면 복권돼도 공천 원천배제 도덕성 대폭 강화,Politics
총리 소속      지원위 설치  특별법 포함된 추모시설도 건립,Politics
  월   일은 대한민국 비전 되찾는 날   이재명 대표  신년기자회견서  윤석열 심판론  띄우기,Politics
윤 대통령  종교유산협력관 신설해 불교 유산 체계적 보호 ,Politics
 시중은행 ELS 판매 잇따라 중단 D리포트 ,Economic
 지난해 부실기업     곳  년 내 최대 ,Economic
진에어  기내 와이파이 시범 서비스 개시,Economic
IMF  세계경제 경착륙 가능성 낮아졌다  글로벌 한국 성장률 전망치 각각     포인트      포인트 높여,Economic
이수만 손 들어준 법원 SM 인수전 회의록 열람 허용,Economic
똘똘 뭉친 삼성  개사 노조  삼성 초기업 노조  곧 출범,Economic
LF 헤지스  브랜드 심벌 리뉴얼과 함께 친환경 포장재 도입,Economic
삼성전자   분기 D램 흑자전환 반도체 적자    조원,Economic
지난해 산업생산      증가 소매판매 설비투자는 줄어,Economic
CNBC 설문조사   월   기준금리 인하 전망   에 불과 ,Economic
무전공 확대에  인센티브   전공 자율성 확대   기초학문 붕괴 ,Social
서울시  대학 원 생 학자금 대출 이자 지원한다,Social
롤스로이스 마약 뺑소니 피해자측   심 징역   년에 항소 요청 않기로,Social
 인감도 온라인 발급  불필요한 인감 증명서도 줄인다,Social
대법   오늘의유머  종북세력 활동 발언 명예훼손 아냐 ,Social
 드라마 제작사 고가인수 의혹  김성수 카카오엔터 대표 구속영장,Social
정유라  차범근  조국과 관련 없다고   빼박 증거로 저격,Social
 마스크 쓰세요   월 마지막날 수도권 미세먼지  나쁨 ,Social
 후원업체 뒷돈 혐의  KIA 김종국 장정석 구속영장 기각,Social
경찰   난폭운전  등 이륜 화물차 불법행위 단속,Social
이영애    년만에  장금이  연기한다,Culture
탈모인구  천만 시대 피부과 교수    살 넘으면 매일 머리 감지 마시라 ,Culture
 월 마지막날도 미세먼지 짙어 세종과 충남은 비상저감조치,Culture
문체부      억 K 콘텐츠 펀드 벤처투자조합 조성,Culture
 지방간 흔한데 뭔 걱정  넘겼는데  침묵의 장기 가 보낸 마지막 신호,Culture
이제    금 까지 왔다 초고령사회 일본서 뜨는 핑크빛 산업,World
엑스   딥페이크 확산  테일러 스위프트 검색 다시 허용,World
    펜타닐 등 마약대응 워킹그룹 출범 정상회담 합의 이행,World
 트럼프 안방  마이애미 찾은 바이든  트럼프는 루저 ,World
머스크  인간 뇌에 컴퓨터 칩 심었다  첫 환자 회복중 ,World
하마스  휴전 제안 검토 전쟁 종료 최우선 ,World
EU  내일 특별정상회의서  우크라 지원안  타결 다시 시도,World
미 전문가  낮은수위 북 도발이 전쟁으로 이어질 가능성 경계해야 ,World
북한 러시아와 손잡고 ICBM 개발에 박차 가하는 이란,World
시진핑  샌프란 정상회담서 바이든에   대선 개입 없다  확약,World
카카오  카카오톡 기프티콘  삼성페이로 쓰세요 ,IT
KT  유망 스타트업 발굴 프로젝트  창업도약패키지   기 모집,IT
 제  이통사  내일 결판나나 주파수 경매액     억 육박,IT
AI폰 시대 여는  갤S    글로벌 출격,IT
정부  게임 피해구제 동의의결제 도입  소액사기 전담수사관 지정 ,IT
 AI로 법률 산업도 발전  과기차관  리걸테크 업계와 간담회,IT
스마일샤크   AWS SMB 컴피턴시  취득,IT
 자폐 동생이 구매한 코인 결제  환불될까요  해결사 여기 있었네,IT
