,titles,category
0,리뷰가성비좋은올인원로봇청소기아이리버에이클,IT
1,비트코인현물초반승자는블랙록코인브리핑,IT
2,팩플악재겹친카카오엔터권기수장윤중신임대표내정왜,IT
3,미래수익은주주환원은애플투자매력용호상박,IT
4,박민수차관질병특성반영한의료보장체계마련강조,IT
5,사법리스크카카오엔터대표교체쇄신속도내나,IT
6,넷마블에프앤씨메타버스자회사해산여명권고사직,IT
7,네카오대수장첫만남산업정부실질적지원필요,IT
8,강민성의헬스토리우유의불편한진실과논쟁먹을까말까,IT
9,티맵으로지난해어디자주갔나맛집로또판매점모텔순,IT
10,단독갤사면공기청정기줄게시장교란논란정지은의산업노트,IT
11,카카오계열사도인적쇄신브라더경영지운다,IT
12,단독넥슨유니버스사령탑에황선영그룹장블록체인프로젝트속도낸다,IT
13,챗탑재한빙검색엔진점유율증가는미미이용자는증가세,IT
14,취재수첩확률형아이템과거리두기아파도어쩌겠나,IT
15,일상화시대빅테크제조업한몸으로움직여야,IT
16,한국메타버스산업협회메타버스에게임법적용관련산업모두무너질것,IT
17,돋보기글로벌빅테크종속우려민관힘합쳐야기업들한목소리,IT
18,반갑다응원한다네이버최수연카카오정신아첫만남,IT
19,한해번넘게병원가면본인부담률의료쇼핑막는다,IT
20,구단공동입장문에입장표명구단들과비공개논의이어갈것,IT
21,삼성전자인도스마트폰시장서년만에위샤오미는위로밀려,IT
22,디지털정부그늘멈춰버린국가시스템제도부터바로잡아야,IT
23,종합예고된카카오계열사인사태풍시작은혼란의엔터테인먼트,IT
24,넷마블에프앤씨자회사메타버스월드법인정리전원권고사직,IT
25,실화냐갤럭시쓰면개언어팬도언어장벽,IT
26,선택과집중하는이노텍멕시코로전장무게중심옮기나,IT
27,넷마블에프앤씨산하자회사메타버스월드전원권고사직,IT
28,네이버최수연카카오정신아한자리에시장은전쟁터,IT
29,대박조짐갤라이브방송완판유튜브조회수만,IT
30,클라우드스카이라이프교체임박김영섭대표열심히찾고있다,IT
31,바이오사이언스작년이어올해도적자전망투자의견중립,IT
32,코인범죄지난해감소했다코인브리핑,IT
33,티라노사우루스와가장가까운친척찾았다달콤한사이언스,IT
34,갤럭시울트라벤치마크돌려보니점수높은데안정성아직일템,IT
35,스트리밍밀린벅스음원유통사업으로역전노린다,IT
36,이강인왼발에걸리면터진다시청률도대박역대최고기록,IT
37,나노입자로암액체생검정확도끌어올렸다,IT
38,출근하자마자커피마시지마세요아무도몰랐던사실안되는이유나왔다,IT
39,누적적자억게임단공동성명에비공개대화지속,IT
40,전선에서전우애확인한네카오,IT
41,드라마카이스트실제주인공황정아민주당입당이유는,IT
42,코로나발생발표주전바이러스존재알았다,IT
43,기세꺾인메타버스넷마블메타버스월드전원권고사직,IT
44,삼성전자스마트폰출하량위애플에년만에내준이유,IT
45,로봇농부가모종옮겨심는다,IT
46,단독우주산업마중물스페이스이노베이션사업중도포기한다예산삭감여파,IT
47,신현근레드랩게임즈롬가가진재미증명할것,IT
48,검찰국정원이받아간통신이용자정보급증왜,IT
49,실납부만원대요금제출시이번엔소비자만족시킬까클로즈업,IT
50,멤버십묶은쿠팡쿠팡플레이쿠팡이츠나란히약진,IT
51,갤럭시공시지원금가장많은곳어디일확정,IT
52,내손안에들어온달라진점은,IT
53,이미지를텍스트로카카오허니비사업모델은,IT
54,네이버카카오미중에종속된글로벌플랫폼정부지원절실,IT
55,빅테크에종속직전인협업만이해법기업들한목소리,IT
56,이기자의게임픽엔씨소프트인체제기업성장견인기대이유는,IT
57,메타버스는게임아냐게임산업법적용중단하라,IT
58,유튜브넷플릭스앱없는애플비전프로팥소없는찐빵인가,IT
59,수익배분부족게임단성명에깊은우려와유감,IT
60,알츠하이머환자뇌세포죽이는원인새로밝혔다,IT
61,갤라방서큐방송사고에애국가부른강남누리꾼들빵터졌다,IT
62,논란일던카카오엔터결국대표인모두교체,IT
63,주파수추가공급계획발표초읽기,IT
64,회장구마모토팹내달오픈해외투자지속,IT
65,강원랜드카지노현금박스로봇이옮긴다,IT
66,바람탄엔비디아주가나란히사상최고치,IT
67,아이슬란드화산폭발우주서내려다봤더니,IT
68,갤럭시싸게갈아타세요중고폰매입민팃최대만원추가보상,IT
69,국내빅테크도빅뱅기술선점속도싸움본격화주도권경쟁,IT
70,셀트리온그룹다케다사업매각억수익,IT
71,카카오벤처스작년투자액년래최저,IT
72,달착륙선슬림일시착륙시도성공하면세계번째,IT
73,최수연대표와마주앉은정신아카카오대표내정자협업공감대,IT
74,머니픽과기부최고위전략대화네이버카카오삼성한자리,IT
75,사진보고설명가능한카카오허니비첫공개,IT
76,사전예약돌입한갤럭시예상공시지원금최고만원,IT
77,갤럭시예판시작통신사혜택봤더니이것까지준다고,IT
78,스타트업동아줄이었는데카카오벤처스지난해투자년래최저,IT
79,저커버그메타도개발참전올해만개매입,IT
80,명품받고싸게사볼까이통사갤사전예약돌입,IT
81,아이센스올해실적이끌쌍두마차는,IT
82,갤럭시가생방송중큐네티즌빵터뜨린쿠팡방송사고,IT
83,일본열도가들썩인다오늘밤우주선슬림달착륙강경주의카페,IT
84,애플비전프로공급사에시야추가전망,IT
85,위워크파산선언그후국내공유오피스어떨까,IT
86,마니아스토어에서나만의자비스골라쓴다,IT
87,카카오드디어출격멀티모달언어모델허니비공개,IT
88,시리야듣고있니갤럭시가더똑똑해졌어외신폰갤럭시에호평,IT
89,박윤규차관주파수스펙트럼이달말발표포함될듯,IT
90,국내빅테크기술경쟁가속,IT
91,사전판매시작갤약만원요금제써야만원지원받아,IT
92,구글디렉터에서실리콘밸리잡러까지,IT
93,인공위성빛공해에자구책마련나선천문학계,IT
94,아웃소싱우리금융만실패한모델인가시대적퇴조인가불편해진금융권,IT
95,삼성스마트반지갤럭시링어떻게나올까,IT
96,눈치없는당신원숭이만도못하다고사이언스브런치,IT
97,세계위가내다본올해파운드리시장전망은,IT
98,만원대요금제나왔다통신비인하신호탄될까,IT
99,최고기술보유하고도해외기업과상용화연구하는과학자들,IT
