,titles,category
0,무전공모집하면특정분야학생쏠려교육부대학무시냐,Social
1,김동연지사기득권내려놓고특별자치도추진시간문제일뿐꼭될것,Social
2,공사하게해달라고기동실버타운행정심판각하,Social
3,대설한파에결항동파속출제주공항재개,Social
4,타일제조업체김해삼영산업종업원명전원해고통보,Social
5,청년유출막는다더니자치단체서울기숙사향한곱지않은시선,Social
6,반대방향손님말에고속도로역주행한택시트럭으로막아세워,Social
7,기후동행카드있어요하루만에만장팔렸다실사용은일부터,Social
8,서울무제한교통카드첫날만장팔렸다,Social
9,대한통운택배노조단체교섭거부부당심도패소종합,Social
10,기초학문붕괴전국인문대학장무전공모집추진에반발종합,Social
11,대구경주고속도역주행한택시기사왜그랬냐묻자,Social
12,억원전세사기대검찰구형보다높은징역년선고,Social
13,만성변비약부족우려에약가인상억들던눈치료제도건보적용,Social
14,속보이스타억배임혐의이상직전의원징역년,Social
15,민주노총탈퇴강요서병배전대표참고인조사,Social
16,장원영탈덕수용소소송계속된다강제집행정지신청,Social
17,이경규유세윤도돈떼였다연예인출연료미지급기획사대표집행유예,Social
18,경찰지하철탑승시위전장연활동가에구속영장신청,Social
19,끝나지않는코로나접종하면중증도치명률분의로뚝,Social
20,개월딸층서던지고미숙아낳아시간방치재판대선대엄마들,Social
21,부산북구청장망언에장애인부모기자회견사과고성뒤섞여,Social
22,조원기부회장님칭찬했는데회사빚이억직원전부짤렸다,Social
23,억보증금꿀꺽전세사기범징역년에항소,Social
24,집안남자들기받으라고기암괴석에낙서한대,Social
25,보내줄수없어전처차에태우고대구진주달린대,Social
26,구글억대과징금불복소송패소지배적지위남용종합,Social
27,갑질로억대과징금구글공정위상대소송패소,Social
28,들개에멧돼지까지출몰부산시민공원안전주의보,Social
29,양형위원장국가문제된기술유출비형벌적시스템도갖춰야,Social
30,얼굴뒤덮은거대종양마다가스카르여성새미소선물받아,Social
31,초에영화편전송가능광원소자세계첫개발,Social
32,문전대통령세생일맞아산행축하꽃바구니전달,Social
33,조기부삼영산업전직원해고통보누적부채억,Social
34,심도대통령집무실관저아냐근처집회금지는위법,Social
35,미성년자명성착취물만든대남성징역년,Social
36,큰죄지었다던신림등산로살인범최윤종무기징역불복해항소,Social
37,이원석검찰총장범죄발생전차단이민생지키는최선,Social
