,titles,category
0,홍해위기에반사이익중국유럽철도때아닌호황,World
1,만리튬매장지발견배터리산업긴장,World
2,파키스탄보복공습했지만이란과의긴장고조바라지않아,World
3,명목상평화통일종치고핵국가투쟁깃발만남아,World
4,이사국자격으로소집한첫문제회의안보리접근달라져야,World
5,통일장관특보중국파견노동자수천명임금체불에폭동,World
6,막내린다보스포럼트럼프재선가능성에정계불안재계덤덤,World
7,아베파비자금스캔들에해산개파벌중절반해산종합보,World
8,로이터칼럼니스트북한미국에새골칫거리안겨,World
9,젤렌스키의에도중국은가자전쟁에관심,World
10,타이완자국민에중국방문자제령체포우려,World
11,자민당최대파벌아베파해산발표년고착된파벌정치막내리나,World
12,중국요리학교가면맨등위칼질배운다홍보영상에경악영상,World
13,튀르키예또다른이스라엘축구선수조사계약해지,World
14,고개숙인기시다아베파비자금파문에자민당파벌절반해산,World
15,이게누구지연일헤일리때리기트럼프가올린합성사진,World
16,종합검찰정치자금수사용두사미비판직면아베기시다파해산선언,World
17,인도과국경문제해결되면기업투자심사완화,World
18,막내린다보스포럼전쟁기후위기속울림없는외침,World
19,검찰정치자금수사용두사미아베기시다파해산선언종합보,World
20,월클뉴스일본정치파벌해산도미노기시다승부수통했나,World
21,숙련공부족에애리조나공장가동도연기,World
22,이슈긴장감커지는홍해중동상황따라세계경제도요동,World
23,기시다승부수통했나일본자민당아베파해산결정,World
24,우주기술참관목록포착북한위협극적변화우려,World
25,하얀금맥리튬백만톤발견중국리튬지배력더커지나,World
26,눈가리고맨몸위칼질요리학교인간도마에경악,World
27,한국군사력세계개국중위북한은위,World
28,일본인한국에친밀감중국엔가친밀감못느껴,World
29,세노인심혈관나이대비법은칠순넘어시작한운동,World
30,카니예앞니가번쩍억짜리틀니뭐길래,World
31,무당층의선택도트럼프바이든에앞서,World
32,기시다파이어아베파도해산파벌정치년만에끝날까,World
33,홍해위기팬데믹당시보다공급망더심각유휴선박투입해야,World
34,통일장관특보노동자들임금체불에폭동알지못해종합보,World
35,생성형수요대응빅테크에데이터센터짓는다,World
36,개국축하라이칭더에중여개국하나의중국재천명,World
37,영상체급차이따위무시해버리는브래들리러최신전차박살냈다,World
38,노동자수천명임금갈취에폭동간부잡고인질극도,World
39,영상중동전쟁불씨홍해넘어아시아로러시아실전거친탄도미사일가치껑충,World
40,미국아랍팔레스타인건국인정검토에이스라엘절대안돼발칵,World
41,고용줄어드는미국연초부터구조조정칼바람메이시스명해고,World
42,수단군벌내전즉각휴전촉구,World
43,사우디도가세했지만또미국치받은네타냐후에두국가해법막막,World
44,월급진짜안오르네주요국중유일한나라일본,World
45,나토러침공대비국만명훈련수십년만에최대,World
46,유화파들잇따라전쟁난다비핵화장기목표로둬야,World
47,트럼프대만에관심없어중국이원하는대로놔둘수도,World
48,홍해번쩍호르무즈번쩍중동불량배이란왜날뛰나,World
49,세상만사가자지구피난민들의가장중요한일과는이것,World
50,외교전문가들우크라가자에깊게빠져트럼프재당선우려안해,World
51,아마존의인수제동예정소식에아이로봇주가,World
52,기시다파벌해체선언초강수정치생명걸었다,World
53,중국홍해지역긴장고조에기름붓기방지해야,World
54,일본의달탐사선오늘밤착륙시도목표이내착륙성공할까,World
55,차이나워치중국취업률통계잣대개편청년실업심화탓,World
56,이라크총리자국내연합군주둔불필요중동위기속기조변화,World
57,개국축하라이칭더에여개국하나의중국재천명종합,World
58,중국돌아온외국인다시늘었다는데무비자확대언제쯤,World
59,군사력전년보다위올라세계위북한은,World
60,영상독일타우루스우크라행막혀러이란미사일들여올듯,World
61,검찰정치자금수사용두사미기시다니카이파는해산선언종합,World
62,미군예멘본토차공격후티미국과직접대결영광,World
63,북극한파로홍역치르는데기후의제외면공화당경선에매서운비판,World
64,헤일리때리기열올리는트럼프이번엔힐러리합성사진까지,World
65,선원모두중국인후티에선상메시지띄운홍해화물선들,World
66,홍해위기에도에너지가격은안정적인이유,World
67,중국올해도경제성장목표치설정시장반응은글쎄,World
68,홍해지나는선박위협하는후티러에는안전운항약속,World
69,우리나라군사력세계대강국북한은위에그쳐,World
70,자동차수출첫세계위공식확인늘어만대,World
71,불법비자금파문에궁지몰린기시다기시다파해체선언,World
72,트럼프바이든무당층대상여론조사서차,World
73,이순신이유전무죄를비판하다,World
74,타임스도재정난에해고칼바람유력지잇단구조조정,World
75,러시아의북한산미사일사용무기수출기회,World
76,아랍국가들팔국가수립유엔가입가자지구종전안추진,World
77,노스발사기동형탄두재진입체장착,World
78,기시다파벌해체승부수통할까정치생명건도박,World
79,하얀석유만터졌다옆나라중국또대박,World
80,불장난말라모욕했다필리핀대만문제놓고일째비방,World
81,내월급내놔중국간근로자수천명폭동왜,World
82,레바논전무승부한국심판탓서경덕매너부터일침,World
83,전기차억대투입가능한리튬만톤심봤다시장가속충전,World
84,자막뉴스코로나기원설강력부정중국치사율변이바이러스실험논란,World
85,유조선은안건드려홍해사태에도에너지대란없는이유세모금,World
86,한국군사력한계단올라세계위북한은위위,World
87,챗허용미국대학등장교육계금지대신공존가나,World
88,연봉무려억인데뇌물은못참지청렴도위국가망신살,World
89,비야디인도네시아에조원베팅번째해외공장,World
90,만톤리튬매장지발견한국배터리업계타격받나,World
91,주가만이진실말한다정부호실적발표해도상하이지수바닥,World
92,대만에바항공노조설때파업가능성대만여행객주의해야,World
93,내월급내놓으라우근로자수천명폭동누가떼먹었길래,World
94,가오슝에나노웨이퍼공장추가건설조원투자,World
95,시진핑충성경쟁가열어록들려주는휴대폰보조배터리까지,World
96,월클뉴스파벌해체기시다의승부수아베파어쩌나,World
97,자막뉴스위협차원달라진다북한러시아후폭풍전망,World
98,잭폿터진중국쓰촨성서리튬만톤발견,World
99,만원에샀는데만원됐어요행운의브로치알고보니,World
