,titles,category
0,제작사고가인수의혹카카오엔터김성수검찰소환조사,IT
1,통신서비스불편개선호평변화의트리거되겠다잇피플,IT
2,중국온라인게임관리방안초안삭제고강도규제시행여부에게임사들촉각,IT
3,토종볕도안드는데넷플릭스제전성기활짝,IT
4,영상으악이게뭐야파리가앉은음식먹어도되나봤더니,IT
5,네카오작년두자릿수매출영업익은희비갈릴듯,IT
6,흑자달성디스플레이년과제는재무건전화,IT
7,하반신마비쥐신약맞고걸었다영상,IT
8,경영불안요기요이정환대표사임설에마케팅확대제동불가피,IT
9,삼바영업익첫조돌파바이오연대기한획그어,IT
10,르포정용진현장경영스타필드수원세대첫주자인이유있었네역대급터졌다,IT
11,벨킨무선충전기세계최초출시라인업등적극늘릴것,IT
12,삼성갤사전예약불티신기록세울까,IT
13,지수까지나올줄이야스마일게이트첫투자영화전독시본격촬영,IT
14,한국말로안부물었는데오겡끼데스까갤라이브통역써보니리뷰,IT
15,최고성과강조한보도어떻게볼것인가,IT
16,실적주가상승곡선탄지니언스앞으로가더기대,IT
17,일부터주파수경매쩐이승부가른다,IT
18,분기만에흑자전환로실적개선전력,IT
19,종합흑자전환비결비용절감효과올해모멘텀고도화소부장디과장,IT
20,애플비전프로초반흥행돌풍에삼성방긋전자,IT
21,패티굽고치킨튀기고조리로봇에주문투자쏠린다,IT
22,삼성바이오로직스업계최초영업이익조원시대열다,IT
23,갤럭시사전예약전작대비뛰었다신기록눈앞,IT
24,셀트리온우시와손잡고신약개발속도,IT
25,컨콜유상증자는강화재무안정성강화목적,IT
26,넷플릭스프로레슬링년중계권에조투입,IT
27,개분기만에적자탈출올해실적은애플삼성에달렸다,IT
28,해킹의심신고없어도국정원공공장애조기조사착수,IT
29,과징금억원구글한국에혜택가져왔는데유감,IT
30,나이키입력하면가영업광고와검색경계무너졌다정지은의산업노트,IT
31,국가배후해킹가북한김정은이진두지휘,IT
32,오너리스크불식시킨한컴경쟁력키워드문서,IT
33,갤신기록조짐사전예약명중명울트라택했다,IT
34,국내시장에서존재감드러내는중국게임,IT
35,삼바지난해영업이익조원돌파올해매출조넘긴다,IT
36,갤벌써반응뜨겁다국내해외모두들썩사전예약신기록,IT
37,대주주바뀐와이파이기업다보링크엔터로수익성다각화모색통신강소모니터,IT
38,제이동통신에직격탄단통법폐지효과김현아의세상읽기,IT
39,억대과징금유지구글판단에유감상고검토,IT
40,넷플계정공유금지통했다해외구독늘어,IT
41,올해시설투자조원으로축소재무안정성강화집중,IT
42,여대생여명누리호다누리현장캠프우리가미래우주주역,IT
43,정치권잠수함도면유출진상밝혀야한화오션우리꺼아니야,IT
44,클리노믹스유증억납입연기유증계획은그대로,IT
45,스마일게이트위메이드플레이지분모두정리억원손실,IT
46,잠만자도만원꿀알바구직자들이당근에모여든다,IT
47,이제광고늘어나나조쏟아부은넷플릭스신호탄쐈다,IT
48,죽으면내카톡은어쩌지추모프로필본인이직접선택한다,IT
49,혁신잡는사전규제공정위빼고모두가고개젓는플랫폼법,IT
50,환승연애만보고탈퇴떠나는철새이용자티빙광고로잡을까,IT
51,컨콜유상증자조억원차입금조원대줄여나가겠다,IT
52,년에억벌었다일본에서신기록세운웹툰뭐길래,IT
53,카톡추모프로필도생전에본인이직접만들어요,IT
54,김정은이진두지휘심상찮은호시탐탐한국노린다강경주의카페,IT
55,쿠팡이츠배달앱위도약배민요기요강체제끝났다,IT
56,갑질로억과징금불복한구글에법원공정자유경쟁해친다종합,IT
